id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,input pressure,45,68,16,35,309,ship,baseline,monotonic-signal,raise-signal
m002,g002,state drift,84,0,34,36,256,ship,edge,drag-penalty,drop-slack
m003,g003,review cost,111,15,51,22,305,ship,recovery,confidence-floor,raise-drag
m004,g004,decision risk,84,56,30,69,442,ship,negative,lane-boundary,lower-confidence
m005,g005,input pressure,39,9,24,73,233,ship,baseline,monotonic-signal,raise-signal
m006,g006,state drift,95,47,44,30,351,ship,edge,drag-penalty,drop-slack
m007,g007,review cost,87,50,20,56,433,ship,recovery,confidence-floor,raise-drag
m008,g008,decision risk,86,14,20,18,282,ship,negative,lane-boundary,lower-confidence
m009,g009,input pressure,54,68,25,23,294,ship,baseline,monotonic-signal,raise-signal
m010,g010,state drift,72,17,29,66,324,ship,edge,drag-penalty,drop-slack
m011,g011,review cost,89,10,40,49,305,ship,recovery,confidence-floor,raise-drag
m012,g012,decision risk,101,74,36,75,529,ship,negative,lane-boundary,lower-confidence
m013,g013,input pressure,120,73,28,69,588,ship,baseline,monotonic-signal,raise-signal
m014,g014,state drift,75,29,16,21,293,ship,edge,drag-penalty,drop-slack
m015,g015,review cost,61,61,18,45,359,ship,recovery,confidence-floor,raise-drag
m016,g016,decision risk,101,39,10,48,457,ship,negative,lane-boundary,lower-confidence
m017,g017,input pressure,46,31,32,31,198,ship,baseline,monotonic-signal,raise-signal
m018,g018,state drift,52,53,45,63,298,ship,edge,drag-penalty,drop-slack
m019,g019,review cost,63,48,18,41,331,ship,recovery,confidence-floor,raise-drag
m020,g020,decision risk,72,43,16,21,312,ship,negative,lane-boundary,lower-confidence
m021,g021,input pressure,89,43,41,35,341,ship,baseline,monotonic-signal,raise-signal
m022,g022,state drift,44,34,34,21,174,watch,edge,drag-penalty,drop-slack
m023,g023,review cost,73,49,18,81,443,ship,recovery,confidence-floor,raise-drag
m024,g024,decision risk,91,53,43,59,411,ship,negative,lane-boundary,lower-confidence
m025,g025,input pressure,113,32,19,29,423,ship,baseline,monotonic-signal,raise-signal
m026,g026,state drift,114,39,29,55,472,ship,edge,drag-penalty,drop-slack
m027,g027,review cost,78,61,22,30,372,ship,recovery,confidence-floor,raise-drag
m028,g028,decision risk,108,34,9,9,392,ship,negative,lane-boundary,lower-confidence
